"Date","Price","Open","High","Low","Vol.","Change %"
"2020/03/01","900.30","859.80","909.10","857.20","14.35K","3.49%"
"2020/02/23","869.90","983.00","987.00","855.30","9.26K","-11.38%"
"2020/02/16","981.60","972.50","1,026.00","972.50","3.33K","0.78%"
"2020/02/09","974.00","975.20","983.30","962.10","1.77K","-0.03%"
"2020/02/02","974.30","972.00","996.00","959.30","2.37K","0.77%"
"2020/01/26","966.90","1,016.40","1,016.40","964.50","61.74K","-4.32%"
"2020/01/19","1,010.60","1,027.00","1,034.90","993.10","90.76K","-1.39%"
"2020/01/12","1,024.80","983.60","1,046.70","969.10","131.80K","3.94%"
"2020/01/05","986.00","991.00","999.00","952.50","94.16K","-0.43%"
"2019/12/29","990.30","954.00","1,001.40","951.90","74.92K","3.72%"
"2019/12/22","954.80","918.60","968.80","918.50","40.11K","3.78%"
"2019/12/15","920.00","934.90","947.50","917.40","49.11K","-1.59%"
"2019/12/08","934.90","902.70","957.30","896.10","26.68K","3.33%"
"2019/12/01","904.80","902.70","923.80","892.50","13.69K","-0.13%"
"2019/11/24","906.00","898.00","915.00","896.80","2.70K","0.90%"
"2019/11/17","897.90","898.30","934.00","886.30","3.57K","-0.19%"
"2019/11/10","899.60","897.10","903.40","874.00","2.06K","0.07%"
"2019/11/03","899.00","963.00","964.00","895.80","2.19K","-6.32%"
"2019/10/27","959.70","929.60","964.00","912.70","36.54K","2.83%"
"2019/10/20","933.30","896.30","943.90","887.80","89.30K","4.17%"
"2019/10/13","895.90","900.10","906.90","880.10","68.00K","-0.49%"
"2019/10/06","900.30","887.00","911.40","879.40","84.58K","1.51%"
"2019/09/29","886.90","936.50","940.80","875.60","124.23K","-5.26%"
"2019/09/22","936.10","948.90","970.90","926.10","77.68K","-1.35%"
"2019/09/15","948.90","965.00","968.10","929.50","36.50K","-0.97%"
"2019/09/08","958.20","958.80","972.40","937.10","17.92K","-0.61%"
"2019/09/01","964.10","942.50","1,006.10","934.00","21.25K","2.90%"
"2019/08/25","936.90","867.10","949.00","860.20","7.87K","8.90%"
"2019/08/18","860.30","856.90","876.90","848.00","2.22K","0.47%"
"2019/08/11","856.30","869.20","875.00","840.20","1.90K","-1.47%"
"2019/08/04","869.10","854.30","878.30","851.00","1.56K","1.29%"
"2019/07/28","858.00","869.40","891.40","850.90","16.18K","-1.13%"
"2019/07/21","867.80","850.10","889.70","847.40","97.87K","1.84%"
"2019/07/14","852.10","834.80","865.50","832.30","106.70K","2.10%"
"2019/07/07","834.60","815.00","836.20","809.20","79.79K","2.86%"
"2019/06/30","811.40","839.60","851.60","808.30","103.79K","-3.53%"
"2019/06/23","841.10","814.00","844.90","808.30","121.82K","3.11%"
"2019/06/16","815.70","809.60","828.90","795.50","39.05K","0.70%"
"2019/06/09","810.00","813.70","825.10","802.50","18.45K","-0.22%"
"2019/06/02","811.80","799.00","838.50","798.50","11.83K","1.53%"
